element,id,geometry,description,heritage,historic,image,inscription,material,memorial,name,wikidata,height,start_date,amenity,wheelchair,architect:wikidata,covered,drinking_water,indoor,lit,tourism,heritage:operator,ref:lfd,wikimedia_commons,description:de,note,subject:wikidata,subject:wikipedia,artist_name,wikipedia,year_of_construction,artwork_type,colour,loc_name,min_height,seamark:landmark:category,seamark:landmark:conspicuity,seamark:type,created_by,ele,operator,public_transport,railway,railway:ref,railway:station_category,usage,access,entrance,area,memorial:conflict,website,format,format:top,lfd:criteria,milestone_type,network,panoramax,name:etymology:wikidata,source,name:etymology:wikipedia,board_type,information,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,check_date,check_date:opening_hours,opening_hours,phone,shop,alt_name,flood_date,flood_mark,support,name:de,stone_type,man_made,obelisk:material,obelisk:size,name:en,name:ru,note:de,name:fr,direction,disused,lining,hiking,natural,cemetery,historic:civilization,comment,classification,name:prefix,ref,related:wikipedia,short_name,survey_point:structure,abandoned:military,ruins,boundary,marker,level,length,building,bunker_type,location,military,leisure,place,fixme:wikipedia,toilets:wheelchair,moved,road,year,old_ref,aircraft:type,manufacturer,url,archaeological_site,fortification_type,pump,memorial:type,fixme,artist,backrest,inscription:de,inscription:en,seats,tomb,end_date,highway,name:signed,memorial:addr,person:date_of_birth,person:date_of_death,memorial:text,abandoned:amenity,labor_camp,prison_camp,exhibit,addr:suburb,buried:wikidata,buried:wikimedia_commons,buried:wikipedia,abandoned:man_made,grave,date,brewery,contact:facebook,cuisine,indoor_seating,microbrewery,outdoor_seating,wheelchair:description,beds,email,internet_access,internet_access:fee,rooms,subject:wikimedia_commons,model:wikidata,old_name,ship:type,survey_point:purpose,commemorates:wikidata,commemorates,name:wikipedia,memorial:date,memorial:event,religion,construction_year,direction_east,direction_west,named_after,artist:wikidata,railway_car,leaf_cycle,leaf_type,epigraph,material:de,object:city,object:country,object:housenumber,object:postcode,object:street,width,vehicle_part,electrified,gauge,railway:etcs,railway:preferred_direction,railway:preserved,railway:pzb,railway:track_ref,railway:traffic_mode,building:colour,building:levels,building:levels:underground,fee,roof:colour,roof:height,roof:shape,source:height,fax,building:name,contact:pinterest,contact:twitter,museum,castle_type,max_level,min_level,name:ar,name:es,roof:levels,architect,building:architecture,building:material,contact:youtube,denomination,diocese,emergency,name:be,name:he,name:nl,name:pl,name:uk,name:zh,opening_hours:url,roof:material,bridge,bridge:structure,layer,sac_scale,surface,est_height,roof:orientation,carriage,check_date:tracktype,motor_vehicle,smoothness,tracktype,building:use,disused:denomination,disused:religion,monument:genesis,tower:type,admin_level,government,office,cycleway:both,cycleway:both:lane,foot,hgv:conditional,lanes,lanes:backward,maxspeed,maxweight:hgv,parking:both,razed:railway,sidewalk,source:maxspeed,wheelchair:description:de,charge,disused:man_made,disused:amenity,payment:cash,payment:credit_cards,payment:debit_cards,xmas:day_date,xmas:feature,xmas:name,xmas:opening_hours,castle_type:de,abandoned:power,abandoned:substation,object:suburb,old_operator,water,name:ko,abandoned,functional,windmill:disused,windmill:vanes,3dr:type,building:part,kiln,operator:wikidata,power,substation,barrier,statue,railway:gnt,service,drinking_water:legal,light:method,intermittent,tunnel,waterway,ruins:tourism,cellar:use,storage,ruins:building,abandoned:railway,contact:email,contact:instagram,contact:website,handle,mechanical_driver,pump:style,deanery,parish,ruins:artificial,disused:highway,aeroway,building:min_level,outdoor,historic:period,was:highway,type,contact:phone,stars,operator:type,townhall:type,building:architecture:typology,bicycle,horse
node,3303181918,POINT (13.7480827 51.0688637),,,memorial,File:Edith_Urbach_Stolperstein_Dresden.JPG,Hier wohnte Edith Urbach Jg. 1922 Flucht Palästina überlebt,,stolperstein,Edith Urbach,,,2013-12-05,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Königsbrücker Straße 37, Dresden",1922-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303181919,POINT (13.7480816 51.0688631),,,memorial,File:Fanny_Urbach_Stolperstein_Dresden.JPG,Hier wohnte Fanny Urbach Jg. 1921 Flucht Palästina überlebt,,stolperstein,Fanny Urbach,,,2013-12-05,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Königsbrücker Straße 37, Dresden",1921-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303181920,POINT (13.7480802 51.0688635),,,memorial,File:Jacob_Urbach_Stolperstein_Dresden.JPG,Hier wohnte Jacob Urbach Jg. 1893 Flucht 1936 Polen Schicksal unbekannt,,stolperstein,Jacob Urbach,,,2013-12-05,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Königsbrücker Straße 37, Dresden",1893-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303181921,POINT (13.748081 51.0688645),,,memorial,File:Martha_Urbach_Stolperstein_Dresden.JPG,Hier wohnte Martha Urbach geb. Hentschel Jg. 1900 Polenaktion 1938 deportiert Łodz/Litzmannstadt ermordet,,stolperstein,Martha Urbach geb. Hentschel,,,2013-12-05,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Königsbrücker Straße 37, Dresden",1900-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303181922,POINT (13.7480801 51.0688627),,,memorial,File:Siegfried_Urbach_Stolperstein_Dresden.JPG,Hier wohnte Siegfried Urbach Jg. 1920 Polenaktion 1938 deportiert Łodz/Litzmannstadt ermordet,,stolperstein,Siegfried Urbach,,,2013-12-05,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Königsbrücker Straße 37, Dresden",1920-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303221817,POINT (13.7436214 51.0574672),,,memorial,File:Marianne_Schönfelder_Stolperstein_Dresden.JPG,Hier wohnte Marianne Schönfelder Jg. 1917 eingewiesen 1938 Heilanstalt Arnsdorf „verlegt“ 1943 Heilanstalt Grossschweidnitz ermordet 16.2.1945 Aktion Brandt,,stolperstein,Marianne Schönfelder,,,2012-11-25,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Köpckestraße 1, Dresden",1917-00-00,1945-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303221818,POINT (13.8405121 51.0239525),,,memorial,,Hier wohnte Marie Roy geb. Langer Jg. 1895 interniert 1942 Hellerberge deportiert 1943 Auschwitz ermordet 3.3.1943,,stolperstein,Marie Roy geb. Langer,,,2013-12-05,,yes,,,,,,,,,File:Marie_Roy_Stolperstein_Dresden.JPG,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Laubegaster Ufer 23, Dresden",1895-00-00,1943-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303221819,POINT (13.7505955 51.0715611),,,memorial,File:Nathan_Arthur_Levi_Stolperstein_Dresden.JPG,Hier wohnte Nathan Arthur Levi Jg. 1894 verhaftet 1942 Buchenwald ermordet 17.10.1942,,stolperstein,Nathan Arthur Levi,,,2012-11-26,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Königsbrücker Straße 57, Dresden",1894-00-00,1942-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303221820,POINT (13.8405117 51.0239001),,,memorial,,Hier wohnte Richard Roy gedemütigt/entrechtet tot 15.9.1935,,stolperstein,Richard Roy,,,2013-12-05,,yes,,,,,,,,,File:Richard_Roy_Stolperstein_Dresden.JPG,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Laubegaster Ufer 23, Dresden",,1935-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303996688,POINT (13.7793194 51.042378),,,memorial,File:Bertha Steinhart 2 Stolperstein Dresden.JPG,,,stolperstein,Bertha Steinhart geb. Brauch,,,2014-09-11,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=89,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laubestraße 24, Dresden",1892-03-07,1944-11-19,Hier wohnte Bertha Steinhart geb. Brauch Jg. 1892 deportiert 1942 Riga 1944 Stutthof ermordet 19.11.1944 Riga-Strasdenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303996689,POINT (13.7793212 51.0423802),,,memorial,File:Edith Steinhart Stolperstein Dresden.JPG,,,stolperstein,Edith Steinhart,,,2014-09-11,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=90,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laubestraße 24, Dresden",1921-12-07,1944-00-00,Hier wohnte Edith Steinhart Jg. 1921 deportiert 1942 Riga 1944 Stutthof 1944 Riga-Strasdenhof ermordet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303996690,POINT (13.7793266 51.0423782),,,memorial,File:Gerald Steinhart Stolperstein Dresden.JPG,,,stolperstein,Gerald Steinhart,,,2014-09-11,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=91,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laubestraße 24, Dresden",1914-02-19,2001-11-18,Hier wohnte Gerald Steinhart Jg. 1914 Flucht 1939 England USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303996691,POINT (13.7793234 51.0423791),,,memorial,File:Irwin Steinhart Stolperstein Dresden.JPG,,,stolperstein,Irwin Steinhart,,,2014-09-11,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=92,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laubestraße 24, Dresden",1918-01-13,1991-05-11,Hier wohnte Irwin Steinhart Jg. 1918 Flucht 1939 England Kanada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303996692,POINT (13.837215 51.0248487),,,memorial,,Hier arbeitete Joseph Fränkel Jg. 1888 interniert 1942 Hellerberge deportiert 1943 Auschwitz ermordet 3.3.1943,,stolperstein,Joseph Fränkel,,,2013-12-05,,yes,,,,,,,,,File:Joseph Fränkel Stolperstein Dresden.JPG,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leubener Straße 2, Dresden",1888-00-00,1943-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3303996693,POINT (13.7793227 51.042377),,,memorial,File:Max_Steinhart_Stolperstein_Dresden.JPG,,,stolperstein,Max Steinhart,,,2014-09-11,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=88,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laubestraße 24, Dresden",1881-07-22,1944-00-00,Hier wohnte Max Steinhart Jg. 1881 „Schutzhaft“ 1938 Buchenwald deportiert 1942 Riga 1944 Dachau ermordet 1944 Auschwitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3304014202,POINT (13.7216157 51.0324477),,,memorial,File:Hertha Ruth Rabinowitsch Stolperstein Dresden.JPG,Hier wohnte Hertha Ruth Rabinowitsch geb. Kann Jg. 1904 deportiert 1942 Riga ermordet,,stolperstein,Hertha Ruth Rabinowitsch geb. Kann,,,2013-09-24,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Liebigstraße 23, Dresden",1904-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3304014203,POINT (13.7216186 51.0324472),,,memorial,File:Josef Rabinowitsch Stolperstein Dresden.JPG,Hier wohnte Josef Rabinowitsch Jg. 1864 deportiert 1942 Theresienstadt ermordet 1. Oktober 1942,,stolperstein,Josef Rabinowitsch,,,2013-09-24,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Liebigstraße 23, Dresden",1864-00-00,1942-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3304014204,POINT (13.7216177 51.0324482),,,memorial,File:Martin Herbert Rabinowitsch Stolperstein Dresden.JPG,Hier wohnte Martin Herbert Rabinowitsch Jg. 1895 verhaftet 1941 Buchenwald ermordet,,stolperstein,Martin Herbert Rabinowitsch,,,2013-09-24,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Liebigstraße 23, Dresden",1895-00-00,1941-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3304014205,POINT (13.7216168 51.0324468),,,memorial,File:Selma_Rabinowitsch_Stolperstein_Dresden.JPG,Hier wohnte Selma Rabinowitsch geb. Jacoby Jg. 1872 deportiert 1942 Theresienstadt ermordet 6.10.1942,,stolperstein,Selma Rabinowitsch geb. Jacoby,,,2013-09-24,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Liebigstraße 23, Dresden",1872-00-00,1942-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3304014206,POINT (13.7216153 51.0324487),,,memorial,File:Stefan Rabinowitsch Stolperstein Dresden.JPG,Hier wohnte Stefan Rabinowitsch Jg. 1936 deportiert 1942 Riga ermordet,,stolperstein,Stefan Rabinowitsch,,,2013-09-24,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Liebigstraße 23, Dresden",1936-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3304030914,POINT (13.7491881 51.0675661),,,memorial,https://de.wikipedia.org/wiki/Datei:Heinrich_Kleiner_Stolperstein_Dresden.JPG,Hier wohnte Heinrich Kleiner Jahrgang 1920 deportiert 1941 Theresienstadt 1942 Riga Schicksal unbekannt,,stolperstein,Heinrich Kleiner,,,2012-10-26,,yes,,,,,,,,,,,,,,,de:Liste der Stolpersteine in Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,Stolpersteine Dresden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The wikipedia tag links to a list article, not an article about this specific feature. Needs a better link, or maybe rename ""wikipedia"" to ""related:wikipedia""? See osm wiki - key:wikipedia : ""only provide links to articles which are 'about the feature'""",,,,,,,,,,,,,,,,,,,,,,,"Louisenstraße 12, Dresden",1920-00-00,,Hier wohnte Heinrich Kleiner Jg. 1920 deportiert 1941 Theresienstadt 1942 Riga Schicksal unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
