Entity;Type;Link;latitude;longitude;geocode_query;geocode_status;Subfolder;SourceFileStem
Freiherrliche Gut W.;Location;;;;Freiherrliches Gut W.;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1067
Puozzolì;Location;;;;Puozzolì;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1070
Schweiladingen;Location;;;;Schweidlingen;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1070
Westindische Inseln;Location;https://de.wikipedia.org/wiki/Westindische_Inseln;;;Westindische Inseln;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1071
Ostindien;Location;https://de.wikipedia.org/wiki/Ostindien;;;Ostindien;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1071
Dromedarium;Location;;;;Dromedarium;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1073
Zwinger‑Gebäude;Location;https://de.wikipedia.org/wiki/Zwinger_(Dresden);;;Zwinger-Gebäude;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1076
Marmor‑ oder Tanz‑Saal;Location;;;;Marmor- oder Tanzsaal;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1076
Tempel Salomonis;Location;;;;Tempel Salomonis;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1076
Canmern;Location;;;;Canmern;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1078
Trajani Columna;Location;;;;Trajani Columna;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1078
Pfug;Location;;;;Pfug;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1079
Cröumingen;Location;;;;Cröumingen;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1082
Herzog zu Florenz;Location;;;;Herzog zu Florenz;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1083
Francreich;Location;;;;Francreich;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1083
Maas‑Stabe;Location;;;;Maas‑Stabe;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1084
Königs Keller;Location;;;;Königskeller (Dresden);no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1084
Plauisches Tor;Location;https://de.wikipedia.org/wiki/Plauisches_Tor;;;Plauisches Tor;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1087
Tschirnhausen;Location;https://de.wikipedia.org/wiki/Tschirnhausen_(Sachsen);;;Tschirnhausen;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1089
Polir-Mußle;Location;;;;Polir-Mußle;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1089
Polirs‑Mühle;Location;;;;Polirs‑Mühle;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1090
Chur‑Sächsischen Lande;Location;;;;Chur‑Sächsischen Lande;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1090
Luberach;Location;https://de.wikipedia.org/wiki/L%C3%BCbrach;;;Luberach;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1091
Zeithayn;Location;;;;Zeithayn;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1094
Schwemssel;Location;;;;Schwemssel;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1095
Wiesenbade;Location;;;;Wiesenbade;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1095
Wroughtendorff;Location;;;;Wroughtendorff;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1095
Kalchgrun;Location;;;;Kalchgrun;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1095
Bussendorff;Location;;;;Bussendorf;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1095
Uederau;Location;;;;Uederau;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1095
Zeisrenfriedersdorff;Location;;;;Zeisrenfriedersdorff;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1096
Zobutz;Location;;;;Zobitz;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1096
Porschenstein;Location;;;;Porschenstein;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1096
Waldenburg (Erzgebirge);Location;https://de.wikipedia.org/wiki/Waldenburg_(Sachsen);;;Waldenburg (Erzgebirge);no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1096
Gersingswalda;Location;;;;Gersingswalda;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1097
Ober‑Läufniざ;Location;;;;Oberlauffnitz;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1097
Eaubegast;Location;;;;Eaubegast;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1097
Mitwenda;Location;;;;Mitwenda;no_results;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;1097
Aeuergärt;Location;;;;Auergarten;no_results;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;00000048.tif.original
Soauns;Location;;;;Soauns;no_results;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;00000048.tif.original
Muúms;Location;;;;Muúms;no_results;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;00000048.tif.original
Wermarta;Location;;;;Wermarta;no_results;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;00000048.tif.original
Fräyberg;Location;;;;Fräyberg;no_results;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;00000049.tif.original
Lapplte;Location;;;;Lapplte;no_results;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;00000050.tif.original
Landaeben;Location;;;;Landaeben;no_results;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;00000050.tif.original
Schlackenwerda;Location;https://de.wikipedia.org/wiki/Schlackenwerda;;;Schlackenwerda;no_results;026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise;00000090.tif.original
Gottessgabe;Location;;;;Gottessgabe;no_results;026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise;00000090.tif.original
Joachimsthalerberg;Location;;;;Joachimsthaler Berg;no_results;026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise;00000091.tif.original
Brentzlant;Location;;;;Brentzlant;no_results;027_1780_Emanuel_Hartensteins,_eines_perigrinirenden_Weltbürgers,_Reise_von_Berlin_über_Rostock_nach_Dreßden;161
Metznig;Location;;;;Metznig;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000015.tif.original
Ersurth;Location;;;;Ersurth;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000015.tif.original
WBlankburg;Location;;;;WBlankburg;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000015.tif.original
Salzgahlen;Location;;;;Salzgahlen;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000015.tif.original
Hämstedt;Location;https://de.wikipedia.org/wiki/Hämstedt_(Beverstedt);;;Hämstett;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000015.tif.original
Treuen‑brieten;Location;;;;Treuen‑brieten;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000017.tif.original
Electoratum Brandenburg;Location;https://de.wikipedia.org/wiki/Markgrafschaft_Brandenburg;;;Electorate of Brandenburg;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000022.tif.original
Kurfürstische Palais;Location;;;;Kurfürstliches Palais (Dresden);no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000026.tif.original
Churprinzen Palais;Location;;;;Kurfürsten Palais;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000026.tif.original
Burggrαsthum Magdeburg;Location;;;;Burggrαsthum Magdeburg;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000027.tif.original
Rfnigftein;Location;;;;Rfnigftein;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000027.tif.original
Voigtändischen;Location;;;;Voigtändischen;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000030.tif.original
Königl. Jagdschloß Moritzburg;Location;https://de.wikipedia.org/wiki/Schloss_Moritzburg;;;Jagdschloss Moritzburg;no_results;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;00000030.tif.original
Churfürstliche Schloß;Location;https://de.wikipedia.org/wiki/Residenzschloss_(Dresden);;;Kurfürstliches Schloss (Dresden);no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;171
Grottenwerke;Location;;;;Grottenwerk (Dresden);no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;171
Schloßthurm;Location;;;;Schloßthurm;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;175
Brühl'sches Palais (Gräflich Brühlschen Palais);Location;https://de.wikipedia.org/wiki/Br%C3%BChlsches_Palais;;;Brühlsches Palais (Dresden);no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;184
Churfürstlichen Garten;Location;https://de.wikipedia.org/wiki/Gro%C3%9Fer_Garten_(Dresden);;;Kurfürstlicher Garten (Dresden);no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;186
Kurfürstlicher Garten;Location;https://de.wikipedia.org/wiki/Kurfürstlicher_Garten_(Dresden);;;Kurfürstlicher Garten (Dresden);no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;189
Moschinskischer Garten;Location;https://de.wikipedia.org/wiki/Moschinskischer_Garten;;;Moschinskischer Garten;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;190
Pauischer Grund;Location;;;;Pauischer Grund;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;191
Neuen Markte;Location;https://de.wikipedia.org/wiki/Neumarkt_(Dresden);;;Neuer Markt (Dresden);no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;192
Churfürstliche Schloß Nebigau;Location;;;;Churfürstliche Schloß Nebigau;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;201
Lechengroβe;Location;;;;Lechen Grube;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;201
Churfürstliches Lustschloss Pillnitz;Location;https://de.wikipedia.org/wiki/Schloss_Pillnitz;;;Lustschloss Pillnitz;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;202
Marmorhütte;Location;;;;Marmorhütte (Pirna);no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;202
Plauischer Grund;Location;https://de.wikipedia.org/wiki/Plauischer_Grund;;;Plauischer Grund;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;203
Schloßthurme;Location;;;;Schloßthurme;no_results;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;206
Tillerstein;Location;;;;Tillerstein;no_results;032_1782_Reise_von_Dresden_nach_Teplitz_in_Böhmen;29
Thunische Paallast;Location;;;;Thürnisches Palais;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000300.tif.original
Martinizische;Location;;;;Martinizische;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000300.tif.original
Grafen Runitz Pallaus;Location;;;;Grafen Runitz Pallaus;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000303.tif.original
Grafen Clam Pallast;Location;;;;Grafenclau Palais;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000303.tif.original
Fürsten v. Mansfeld Pallast;Location;;;;Fürsten von Mansfeld Palais;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000304.tif.original
Rinsky Pallast;Location;;;;Rinsky Pallast;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000304.tif.original
Graf des Foursche Palais;Location;;;;Graf des Fürsten Palais;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000304.tif.original
Leutmeritzer Kreis;Location;;;;Leuteritz Kreis;no_results;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;00000304.tif.original
Boksshsaten;Location;;;;Boksshsaten;no_results;036_1783_Briefe_eines_reisenden_Franzosen_über_Deutschland._An_seinen_Bruder_zu_Paris;6
Dänemer;Location;https://de.wikipedia.org/wiki/D%C3%A4nemark;;;Dänemer;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000115.tif.original
Churkreis;Location;https://de.wikipedia.org/wiki/Kirchenkreis_Dresden;;;Churkreis;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000117.tif.original
Koseldorf;Location;;;;Köseldorf;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000120.tif.original
Lochauer Wald;Location;;;;Lößnau Wald;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000120.tif.original
Sulkowski Palais;Location;https://de.wikipedia.org/wiki/Palais_Sulkowski;;;Sulkowski Palais;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000126.tif.original
Lubomirski Palais;Location;;;;Lubomirski Palais;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000126.tif.original
Palais des Chevalier de Saxe;Location;;;;Palais des Chevalier de Saxe;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000126.tif.original
Wallche;Location;;;;Wallche;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000127.tif.original
Mineraliengallerie;Location;;;;Mineralien-Galerie;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000133.tif.original
Kupferstichsaal;Location;;;;Kupferstichsaal;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000133.tif.original
Conchylienkabinett;Location;https://de.wikipedia.org/wiki/Conchylienkabinett;;;Conchylienkabinett;no_results;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;00000138.tif.original
Wergrücken;Location;;;;Wergrücken;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;142
Queergassen;Location;;;;Quer Gassen;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;147
Kaizbach;Location;;;;Kaisbach;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;147
Neustädter‑Hauptwacht;Location;https://de.wikipedia.org/wiki/Neustädter_Hauptwacht;;;Neustädter Hauptwacht;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;151
Spitzruthen;Location;;;;Spitzruthen;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;152
Kurfürstentum Sachsen;Location;https://de.wikipedia.org/wiki/Kurf%C3%BCrstentum_Sachsen;;;Kurfürstentum Sachsen;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;152
Wilsdrufer Vorstadt;Location;https://de.wikipedia.org/wiki/Wilsdruffer_Vorstadt;;;Wilsdrufer Vorstadt;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;154
Falkenschlage;Location;;;;Falkenschlage;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;154
Weisserix;Location;;;;Weisserix;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;154
Weifferitz;Location;;;;Weifferitz;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;155
Allee in der Neustadt;Location;;;;Allee in der Neustadt;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;157
Garten der Gräfin Murinska;Location;;;;Garten der Gräfin Murinska;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;157
Rieschens Garten;Location;;;;Rieschen Garten;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;157
Uri‑gau;Location;;;;Uri‑gau;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;158
Naumannischer Weinberg;Location;https://de.wikipedia.org/wiki/Naumann%27scher_Weinberg;;;Naumannischer Weinberg;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;162
Neitschitz;Location;;;;Neitschütz;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;164
Parthien;Location;;;;Parthien;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;167
Spitzruthen-Execution;Location;;;;Spitzruthen-Execution;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;177
preußischen Staaten;Location;https://de.wikipedia.org/wiki/Preußische_Staaten;;;preußischen Staaten;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;183
kursächsische Länder;Location;;;;kursächsische Länder;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;183
Kurfachaen;Location;;;;Kurfachaen;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;197
See-Thore;Location;;;;See-Thore;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;212
Kasfen;Location;;;;Kasfen;no_results;049_1786_Kleine_Wanderungen_durch_Teutschland;216
Plauischer Grund;Location;https://de.wikipedia.org/wiki/Plauischer_Grund;;;Plauischer Grund;no_results;050_1786_Briefe_über_Sachsen_von_einem_Reisenden;59
Hr. Mo schinskys Garden;Location;;;;Moschinskys Garten;no_results;050_1786_Briefe_über_Sachsen_von_einem_Reisenden;60
Borsstäden;Location;;;;Borsstäden;no_results;050_1786_Briefe_über_Sachsen_von_einem_Reisenden;61
Italienische Oper;Location;https://de.wikipedia.org/wiki/Italienisches_Opernhaus_(Dresden);;;Italienische Oper (Dresden);no_results;050_1786_Briefe_über_Sachsen_von_einem_Reisenden;63
Ockeritzer Mühle;Location;https://de.wikipedia.org/wiki/Ockeritzer_Mühle;;;Ockeritzer Mühle;no_results;051_1786_Briefe_über_Sachsen_von_einem_Reisenden;54
Plauischer Grund;Location;https://de.wikipedia.org/wiki/Plauischer_Grund;;;Plauischer Grund;no_results;051_1786_Briefe_über_Sachsen_von_einem_Reisenden;54
Weißeriz Bach;Location;https://de.wikipedia.org/wiki/Weißeritz;;;Weißeritzbach;no_results;051_1786_Briefe_über_Sachsen_von_einem_Reisenden;56
Plauischer Grund;Location;;;;Plauischer Grund;no_results;051_1786_Briefe_über_Sachsen_von_einem_Reisenden;56
Kurfürstlichen Vorwerk Ostra;Location;;;;Kurfürstliches Vorwerk Ostra;no_results;053_1786_Briefe_über_Sachsen_von_einem_Reisenden;49
Lustschloß Uebigau;Location;https://de.wikipedia.org/wiki/Lustschloss_Übigau;;;Lustschloss Übigau;no_results;053_1786_Briefe_über_Sachsen_von_einem_Reisenden;49
Manheimer Bühne;Location;;;;Manheimer Bühne;no_results;053_1786_Briefe_über_Sachsen_von_einem_Reisenden;50
Lehmannische Bad;Location;;;;Lehmannische Bad;no_results;054_1786_Briefe_über_Sachsen_von_einem_Reisenden;47
Linckische Bad;Location;;;;Linckische Bad;no_results;054_1786_Briefe_über_Sachsen_von_einem_Reisenden;47
Böhmens;Location;https://de.wikipedia.org/wiki/Böhmen;;;Böhmens;no_results;054_1786_Briefe_über_Sachsen_von_einem_Reisenden;47
Provianthäuser;Location;;;;Provianthäuser;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;17
Tarduken;Location;;;;Tarduken;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;31
Weßen Thorr;Location;;;;Weßen Thorr;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;36
Potschaischen;Location;;;;Potschaischen;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;44
Lehmannsche Bad;Location;https://de.wikipedia.org/wiki/Lehmannsches_Bad;;;Lehmannsche Bad;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;46
Linkische Bad;Location;;;;Linkische Bad;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;46
Böhmens;Location;https://de.wikipedia.org/wiki/Böhmen;;;Böhmens;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;46
Weißpritzbrücke;Location;;;;Weißpritzbrücke;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;47
Kurfürstliches Vorwerk Ostra;Location;;;;Kurfürstliches Vorwerk Ostra;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;48
Lustschloß Uebigau;Location;;;;Lustschloss Übigau;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;48
Kurfürstl. Lustschloß Nebigau;Location;;;;Kurfürstliches Lustschloss Übigau;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;51
Priesniz;Location;;;;Priesniz;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;52
Ockeritzer Mühle;Location;https://de.wikipedia.org/wiki/Ockeritzer_Mühle;;;Ockeritzer Mühle;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;54
Mansfeldischen;Location;https://de.wikipedia.org/wiki/Mansfeld;;;Mansfeldischen;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;58
VorderLEN;Location;;;;VorderLEN;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;58
Mosshinskys Garten;Location;;;;Moschinskys Garten;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;59
Preufen;Location;;;;Preufen;no_results;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;64
Rödingsbrück;Location;;;;Rödingsbrück;no_results;056_1786_Briefe_über_Sachsen_von_einem_Reisenden;14
Grafschaft Schönburg;Location;https://de.wikipedia.org/wiki/Schönburg_(Sachsen);;;Grafschaft Schönburg;no_results;057_1787_Briefe_über_Herrnhut_und_andere_Orte_der_Oberlausitz;00000011.tif.original
Prinz Eugenischer Garten;Location;https://de.wikipedia.org/wiki/Prinz‑Eugen‑Garten;;;Prinz Eugen Garten;no_results;059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;00000015.tif.original
Kaiserlustschloss;Location;https://de.wikipedia.org/wiki/Kaiserlustschloss;;;Kaiserlustschloss;no_results;059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;00000015.tif.original
Ruinengebäude;Location;;;;Ruinengebäude;no_results;059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;00000017.tif.original
Fürstl. Dietrichstei- sche Pallast;Location;https://de.wikipedia.org/wiki/Palais_Dietrichstein;;;Fürstliche Dietrichstein Palais;no_results;059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;00000018.tif.original
