historical spelling|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|modernized_spellings
Clischhoff|Location||||Clischhoff|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|188|Clischhoff
Chur‑Sächsischen|Location|https://de.wikipedia.org/wiki/Kurfürstentum_Sachsen|||Chur‑Sächsischen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|189|Chur‑Sächsischen
Brieste|Location||||Brieste|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|190|Briest
Pultovva|Location||||Pultovva|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|190|Pultava
Preffen|Location||||Preffen|no_results|013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus|194|Preffen
Dörfelspiel|Location||||Dörfelspiel|no_results|014_1739_Eines_berühmten_Cavaliers_aus_Schlesien,_Curieuse_Reisen_durch_Europa,_in_welcher_allerhand_Merckwür|00000430.tif.original|Dörfelspiel
Ring - Mauren|Location||||Ring - Mauren|no_results|014_1739_Eines_berühmten_Cavaliers_aus_Schlesien,_Curieuse_Reisen_durch_Europa,_in_welcher_allerhand_Merckwür|00000431.tif.original|Ring - Mauren
Proviant-Häusern|Location|https://de.wikipedia.org/wiki/Provianthaus|||Provianthäuser|no_results|014_1739_Eines_berühmten_Cavaliers_aus_Schlesien,_Curieuse_Reisen_durch_Europa,_in_welcher_allerhand_Merckwür|00000436.tif.original|Provianthäusern
Alt‑ und Neu‑Dresden|Location|https://de.wikipedia.org/wiki/Dresden|||Alt- und Neu-Dresden|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1053|Dresden
Florentinischer|Location||||Florentinischer|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1056|Florentinisch
Walzisch|Location||||Walzisch|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1056|Walzisch
Bayrischten Schazes|Location||||Bayerischen Schätze|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1058|Bayrischten Schazes
Feinbergifchen|Location||||Feinbergifchen|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1058|Feinberg
Audienzsaal|Location|https://de.wikipedia.org/wiki/Residenzschloss_Dresden#Audienzsaal|||Audienzsaal|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1060|Audienzsaal
Animalien‑Galerie|Location||||Animalien-Galerie|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1067|Animaliengalerie
Freiherrliche Gut W.|Location||||Freiherrliches Gut W.|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1067|Freiherrliche Gut W.
Puozzolì|Location||||Puozzolì|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1070|Puozzolì
Schweiladingen|Location||||Schweidlingen|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1070|Schweiladingen
Westindische Inseln|Location|https://de.wikipedia.org/wiki/Westindische_Inseln|||Westindische Inseln|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1071|Karibik
Ostindien|Location|https://de.wikipedia.org/wiki/Ostindien|||Ostindien|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1071|Indonesien
Dromedarium|Location||||Dromedarium|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1073|Dromedarium
Zwinger‑Gebäude|Location|https://de.wikipedia.org/wiki/Zwinger_(Dresden)|||Zwinger-Gebäude|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1076|Zwingergebäude
Marmor‑ oder Tanz‑Saal|Location||||Marmor- oder Tanzsaal|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1076|Marmorsaal
Tempel Salomonis|Location||||Tempel Salomonis|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1076|Salomonstempel
Canmern|Location||||Canmern|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1078|Canmern
Trajani Columna|Location||||Trajani Columna|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1078|Trajansäule
Pfug|Location||||Pfug|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1079|Pfug
Cröumingen|Location||||Cröumingen|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1082|Cröumingen
Herzog zu Florenz|Location||||Herzog zu Florenz|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1083|Herzog von Florenz
Francreich|Location||||Francreich|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1083|Frankreich
Maas‑Stabe|Location||||Maas‑Stabe|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1084|Maas‑Stabe
Königs Keller|Location||||Königskeller (Dresden)|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1084|Königskeller
Plauisches Tor|Location|https://de.wikipedia.org/wiki/Plauisches_Tor|||Plauisches Tor|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1087|Plauisches Tor
Tschirnhausen|Location|https://de.wikipedia.org/wiki/Tschirnhausen_(Sachsen)|||Tschirnhausen|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1089|Schirnhausen
Polir-Mußle|Location||||Polir-Mußle|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1089|Polir-Mußle
Polirs‑Mühle|Location||||Polirs‑Mühle|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1090|Polirsmühle
Chur‑Sächsischen Lande|Location||||Chur‑Sächsischen Lande|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1090|Kur‑ und Sächsisches Land
Luberach|Location|https://de.wikipedia.org/wiki/L%C3%BCbrach|||Luberach|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1091|Lübach
Zeithayn|Location||||Zeithayn|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1094|Zeithain
Schwemssel|Location||||Schwemssel|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1095|Schwemssel
Wiesenbade|Location||||Wiesenbade|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1095|Wiesenbad
Wroughtendorff|Location||||Wroughtendorff|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1095|Wroughtendorff
Kalchgrun|Location||||Kalchgrun|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1095|Kalchgrün
Bussendorff|Location||||Bussendorf|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1095|Bussendorf
Uederau|Location||||Uederau|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1095|Uederau
Zeisrenfriedersdorff|Location||||Zeisrenfriedersdorff|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1096|Zeisrenfriedersdorf
Zobutz|Location||||Zobitz|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1096|Zobutz
Porschenstein|Location||||Porschenstein|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1096|Porschenstein
Waldenburg (Erzgebirge)|Location|https://de.wikipedia.org/wiki/Waldenburg_(Sachsen)|||Waldenburg (Erzgebirge)|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1096|Waldenburg
Gersingswalda|Location||||Gersingswalda|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1097|Gerswalde
Ober‑Läufniざ|Location||||Oberlauffnitz|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1097|Oberläufni
Eaubegast|Location||||Eaubegast|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1097|Eaubegast
Mitwenda|Location||||Mitwenda|no_results|015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen|1097|Mitwenda
Aeuergärt|Location||||Auergarten|no_results|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|00000048.tif.original|Auer Garten
Soauns|Location||||Soauns|no_results|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|00000048.tif.original|Soauns
Muúms|Location||||Muúms|no_results|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|00000048.tif.original|Muúms
Wermarta|Location||||Wermarta|no_results|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|00000048.tif.original|Wermarta
Fräyberg|Location||||Fräyberg|no_results|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|00000049.tif.original|Freyberg
Lapplte|Location||||Lapplte|no_results|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|00000050.tif.original|Lappe
Landaeben|Location||||Landaeben|no_results|017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter|00000050.tif.original|Landaeben
Schlackenwerda|Location|https://de.wikipedia.org/wiki/Schlackenwerda|||Schlackenwerda|no_results|026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise|00000090.tif.original|Schlackenwerda
Gottessgabe|Location||||Gottessgabe|no_results|026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise|00000090.tif.original|Gottesgabe
Joachimsthalerberg|Location||||Joachimsthaler Berg|no_results|026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise|00000091.tif.original|Joachimsthaler Berg
Brentzlant|Location||||Brentzlant|no_results|027_1780_Emanuel_Hartensteins,_eines_perigrinirenden_Weltbürgers,_Reise_von_Berlin_über_Rostock_nach_Dreßden|161|Brentzlant
Metznig|Location||||Metznig|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000015.tif.original|Metznig
Ersurth|Location||||Ersurth|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000015.tif.original|Ersurth
WBlankburg|Location||||WBlankburg|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000015.tif.original|WBlankburg
Salzgahlen|Location||||Salzgahlen|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000015.tif.original|Salzgallen
Hämstedt|Location|https://de.wikipedia.org/wiki/Hämstedt_(Beverstedt)|||Hämstett|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000015.tif.original|Hämstedt
Treuen‑brieten|Location||||Treuen‑brieten|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000017.tif.original|Treuen‑brieten
Electoratum Brandenburg|Location|https://de.wikipedia.org/wiki/Markgrafschaft_Brandenburg|||Electorate of Brandenburg|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000022.tif.original|Brandenburg
Kurfürstische Palais|Location||||Kurfürstliches Palais (Dresden)|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000026.tif.original|Kurfürstliches Palais
Churprinzen Palais|Location||||Kurfürsten Palais|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000026.tif.original|Kurprinzenpalais
Burggrαsthum Magdeburg|Location||||Burggrαsthum Magdeburg|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000027.tif.original|Burggrαsthum Magdeburg
Rfnigftein|Location||||Rfnigftein|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000027.tif.original|Rfnigftein
Voigtändischen|Location||||Voigtändischen|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000030.tif.original|Vogtändisch
Königl. Jagdschloß Moritzburg|Location|https://de.wikipedia.org/wiki/Schloss_Moritzburg|||Jagdschloss Moritzburg|no_results|029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen|00000030.tif.original|Königliches Jagdschloss Moritzburg
Churfürstliche Schloß|Location|https://de.wikipedia.org/wiki/Residenzschloss_(Dresden)|||Kurfürstliches Schloss (Dresden)|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|171|Kurfürstliches Schloss
Grottenwerke|Location||||Grottenwerk (Dresden)|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|171|Grottenwerk
Schloßthurm|Location||||Schloßthurm|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|175|Schlossthurm
Brühl'sches Palais (Gräflich Brühlschen Palais)|Location|https://de.wikipedia.org/wiki/Br%C3%BChlsches_Palais|||Brühlsches Palais (Dresden)|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|184|Brühlisches Palais
Churfürstlichen Garten|Location|https://de.wikipedia.org/wiki/Gro%C3%9Fer_Garten_(Dresden)|||Kurfürstlicher Garten (Dresden)|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|186|Kurfürstlichen Garten
Kurfürstlicher Garten|Location|https://de.wikipedia.org/wiki/Kurfürstlicher_Garten_(Dresden)|||Kurfürstlicher Garten (Dresden)|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|189|Kurfürstlicher Garten
Moschinskischer Garten|Location|https://de.wikipedia.org/wiki/Moschinskischer_Garten|||Moschinskischer Garten|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|190|Moschinskischer Garten
Pauischer Grund|Location||||Pauischer Grund|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|191|Pauischer Grund
Neuen Markte|Location|https://de.wikipedia.org/wiki/Neumarkt_(Dresden)|||Neuer Markt (Dresden)|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|192|Neumarkt
Churfürstliche Schloß Nebigau|Location||||Churfürstliche Schloß Nebigau|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|201|Kurfürstliches Schloss Niebigau
Lechengroβe|Location||||Lechen Grube|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|201|Lechengroße
Churfürstliches Lustschloss Pillnitz|Location|https://de.wikipedia.org/wiki/Schloss_Pillnitz|||Lustschloss Pillnitz|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|202|Kurfürstliches Lustschloss Pillnitz
Marmorhütte|Location||||Marmorhütte (Pirna)|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|202|Marmorhütte
Plauischer Grund|Location|https://de.wikipedia.org/wiki/Plauischer_Grund|||Plauischer Grund|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|203|Plauischer Grund
Schloßthurme|Location||||Schloßthurme|no_results|031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen|206|Schlossthurme
Tillerstein|Location||||Tillerstein|no_results|032_1782_Reise_von_Dresden_nach_Teplitz_in_Böhmen|29|Tillerstein
Thunische Paallast|Location||||Thürnisches Palais|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000300.tif.original|Thunische Paallast
Martinizische|Location||||Martinizische|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000300.tif.original|Martinizische
Grafen Runitz Pallaus|Location||||Grafen Runitz Pallaus|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000303.tif.original|Grafenruth Pallau
Grafen Clam Pallast|Location||||Grafenclau Palais|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000303.tif.original|Grafen Clam Pallast
Fürsten v. Mansfeld Pallast|Location||||Fürsten von Mansfeld Palais|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000304.tif.original|Fürsten von Mansfeld Palast
Rinsky Pallast|Location||||Rinsky Pallast|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000304.tif.original|Rinsky Pallast
Graf des Foursche Palais|Location||||Graf des Fürsten Palais|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000304.tif.original|Graf des Foursche Palais
Leutmeritzer Kreis|Location||||Leuteritz Kreis|no_results|035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783|00000304.tif.original|Powiat brzeski
Boksshsaten|Location||||Boksshsaten|no_results|036_1783_Briefe_eines_reisenden_Franzosen_über_Deutschland._An_seinen_Bruder_zu_Paris|6|Boksshsaten
Dänemer|Location|https://de.wikipedia.org/wiki/D%C3%A4nemark|||Dänemer|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000115.tif.original|Dänemer
Churkreis|Location|https://de.wikipedia.org/wiki/Kirchenkreis_Dresden|||Churkreis|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000117.tif.original|Region Chur
Koseldorf|Location||||Köseldorf|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000120.tif.original|Kösel
Lochauer Wald|Location||||Lößnau Wald|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000120.tif.original|Lochauer Wald
Sulkowski Palais|Location|https://de.wikipedia.org/wiki/Palais_Sulkowski|||Sulkowski Palais|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000126.tif.original|Sulkowski Palace
Lubomirski Palais|Location||||Lubomirski Palais|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000126.tif.original|Lubomirski Palais
Palais des Chevalier de Saxe|Location||||Palais des Chevalier de Saxe|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000126.tif.original|Palais du Chevalier de Saxe
Wallche|Location||||Wallche|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000127.tif.original|Wallche
Mineraliengallerie|Location||||Mineralien-Galerie|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000133.tif.original|Mineraliengalerie
Kupferstichsaal|Location||||Kupferstichsaal|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000133.tif.original|Kupferstichsaal
Conchylienkabinett|Location|https://de.wikipedia.org/wiki/Conchylienkabinett|||Conchylienkabinett|no_results|046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen|00000138.tif.original|Conchylienkabinett
Wergrücken|Location||||Wergrücken|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|142|Wergrücken
Queergassen|Location||||Quer Gassen|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|147|Queergassen
Kaizbach|Location||||Kaisbach|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|147|Kaisbach
Neustädter‑Hauptwacht|Location|https://de.wikipedia.org/wiki/Neustädter_Hauptwacht|||Neustädter Hauptwacht|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|151|Neustädter Hauptwacht
Spitzruthen|Location||||Spitzruthen|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|152|Spytihněv
Wilsdrufer Vorstadt|Location|https://de.wikipedia.org/wiki/Wilsdruffer_Vorstadt|||Wilsdrufer Vorstadt|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|154|Wilsdrufer Vorstadt
Falkenschlage|Location||||Falkenschlage|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|154|Falkenschlag
Weisserix|Location||||Weisserix|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|154|Weißerich
Weifferitz|Location||||Weifferitz|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|155|Weifritz
Allee in der Neustadt|Location||||Allee in der Neustadt|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|157|Allee in der Neustadt
Garten der Gräfin Murinska|Location||||Garten der Gräfin Murinska|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|157|Garten der Gräfin Murinska
Rieschens Garten|Location||||Rieschen Garten|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|157|Rieschens Garten
Uri‑gau|Location||||Uri‑gau|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|158|Uri
Naumannischer Weinberg|Location|https://de.wikipedia.org/wiki/Naumann%27scher_Weinberg|||Naumannischer Weinberg|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|162|Naumannischer Weinberg
Neitschitz|Location||||Neitschütz|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|164|Neitschitz
Parthien|Location||||Parthien|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|167|Parthien
Spitzruthen-Execution|Location||||Spitzruthen-Execution|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|177|Spitzruthen-Execution
preußischen Staaten|Location|https://de.wikipedia.org/wiki/Preußische_Staaten|||preußischen Staaten|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|183|Preußische Staaten
kursächsische Länder|Location||||kursächsische Länder|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|183|Sachsen
Kurfachaen|Location||||Kurfachaen|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|197|Kurfachaen
See-Thore|Location||||See-Thore|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|212|See-Thore
Kasfen|Location||||Kasfen|no_results|049_1786_Kleine_Wanderungen_durch_Teutschland|216|Kostelec nad Orlicí
Plauischer Grund|Location|https://de.wikipedia.org/wiki/Plauischer_Grund|||Plauischer Grund|no_results|050_1786_Briefe_über_Sachsen_von_einem_Reisenden|59|Plauischer Grund
Hr. Mo schinskys Garden|Location||||Moschinskys Garten|no_results|050_1786_Briefe_über_Sachsen_von_einem_Reisenden|60|Herr Mo Schinskys Garten
Borsstäden|Location||||Borsstäden|no_results|050_1786_Briefe_über_Sachsen_von_einem_Reisenden|61|Borsstädt
Italienische Oper|Location|https://de.wikipedia.org/wiki/Italienisches_Opernhaus_(Dresden)|||Italienische Oper (Dresden)|no_results|050_1786_Briefe_über_Sachsen_von_einem_Reisenden|63|Italienische Oper
Ockeritzer Mühle|Location|https://de.wikipedia.org/wiki/Ockeritzer_Mühle|||Ockeritzer Mühle|no_results|051_1786_Briefe_über_Sachsen_von_einem_Reisenden|54|Ockeritzer Mühle
Plauischer Grund|Location|https://de.wikipedia.org/wiki/Plauischer_Grund|||Plauischer Grund|no_results|051_1786_Briefe_über_Sachsen_von_einem_Reisenden|54|Plauischer Grund
